dataset,alpha,minsup,hep_itemsets,dfhoi_itemsets,aura_hoi_itemsets
T10I4D100K,0.005,500,10,10,10
T10I4D100K,0.01,1000,0,0,0
T10I4D100K,0.02,2000,0,0,0
T10I4D100K,0.03,3000,0,0,0
T10I4D100K,0.05,5000,0,0,0
T10I4D100K,0.075,7500,0,0,0
T10I4D100K,0.1,10000,0,0,0
chess,0.5,1598,0,0,0
chess,0.55,1758,0,0,0
chess,0.6,1918,0,0,0
chess,0.65,2078,0,0,0
chess,0.7,2238,0,0,0
chess,0.75,2397,0,0,0
chess,0.8,2557,0,0,0
chess,0.85,2717,0,0,0
kosarak,0.001,991,726,726,726
kosarak,0.002,1981,265,265,265
kosarak,0.005,4951,86,86,86
kosarak,0.01,9901,31,31,31
kosarak,0.02,19801,14,14,14
mushrooms,0.05,421,93266,93266,93266
mushrooms,0.075,632,16613,16613,16613
mushrooms,0.1,842,955,955,955
mushrooms,0.125,1052,12,12,12
mushrooms,0.15,1263,2,2,2
mushrooms,0.2,1684,0,0,0
mushrooms,0.3,2525,0,0,0
mushrooms,0.4,3367,0,0,0
retail,0.005,441,37,37,37
retail,0.01,882,15,15,15
retail,0.02,1764,9,9,9
retail,0.03,2645,3,3,3
retail,0.05,4409,3,3,3
retail,0.075,6613,2,2,2
retail,0.1,8817,0,0,0
