dataset,algorithm,minutil,minsup,minocc,runner_status,runtime_sec,total_sec,peak_ram_mb,output_count,raw_houi_count,weak_count,strong_count,total_output_items,result_ram_bytes,result_disk_est_bytes,visited_nodes,pruned_support,pruned_utility,pruned_occupancy,source_file
chainstore,chuo_miner,25000.0,0.0075,0.15,OK,3.316219,4.811954,438.988281,70.0,,,,70.0,5880.0,10640.0,70.0,2415.0,0.0,0.0,chuo_miner_chainstore.txt
chainstore,chuo_miner,50000.0,0.01,0.2,OK,3.005728,4.546109,435.613281,45.0,,,,45.0,3780.0,6840.0,45.0,990.0,0.0,0.0,chuo_miner_chainstore.txt
chainstore,chuo_miner,100000.0,0.015,0.25,OK,2.355693,3.856126,432.0625,16.0,,,,16.0,1344.0,2432.0,16.0,120.0,0.0,0.0,chuo_miner_chainstore.txt
chainstore,mhoui,25000.0,0.0075,0.15,OK,0.965466,2.5960419999999997,574.18,70,70,70,70,70,1960,910,70,2415,0,0,mhoui_chainstore.txt
chainstore,mhoui,50000.0,0.01,0.2,OK,0.792454,2.666348,551.21,45,45,45,45,45,1260,585,45,990,0,0,mhoui_chainstore.txt
chainstore,mhoui,100000.0,0.015,0.25,OK,0.818948,2.359068,521.0,16,16,16,16,16,448,208,16,120,0,0,mhoui_chainstore.txt
chainstore,chui_miner,25000.0,0.0075,0.15,TIMEOUT,,,,,,,,,,,,,,,chui_miner_chainstore.txt
chainstore,chui_miner,50000.0,0.01,0.2,TIMEOUT,,,,,,,,,,,,,,,chui_miner_chainstore.txt
chainstore,chui_miner,100000.0,0.015,0.25,TIMEOUT,,,,,,,,,,,,,,,chui_miner_chainstore.txt
chainstore,efim_closed,25000.0,0.0075,0.15,TIMEOUT,,,,,,,,,,,,,,,efim_closed_chainstore.txt
chainstore,efim_closed,50000.0,0.01,0.2,TIMEOUT,,,,,,,,,,,,,,,efim_closed_chainstore.txt
chainstore,efim_closed,100000.0,0.015,0.25,TIMEOUT,,,,,,,,,,,,,,,efim_closed_chainstore.txt
chainstore,efim,25000.0,0.0075,0.15,TIMEOUT,,,,,,,,,,,,,,,efim_chainstore.txt
chainstore,efim,50000.0,0.01,0.2,TIMEOUT,,,,,,,,,,,,,,,efim_chainstore.txt
chainstore,efim,100000.0,0.015,0.25,TIMEOUT,,,,,,,,,,,,,,,efim_chainstore.txt
foodmart,chuo_miner,500.0,0.005,0.1,OK,0.003369,0.014791,3.132812,12.0,,,,12.0,1008.0,1824.0,12.0,66.0,0.0,0.0,chuo_miner_foodmart.txt
foodmart,chuo_miner,750.0,0.006,0.15,OK,0.001061,0.005034,3.050781,1.0,,,,1.0,84.0,152.0,1.0,0.0,0.0,0.0,chuo_miner_foodmart.txt
foodmart,chuo_miner,1000.0,0.0075,0.2,OK,0.000973,0.004879,3.128906,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,chuo_miner_foodmart.txt
foodmart,mhoui,500.0,0.005,0.1,OK,0.002219,0.011673,3.41,12,12,12,12,12,336,156,12,66,0,0,mhoui_foodmart.txt
foodmart,mhoui,750.0,0.006,0.15,OK,0.001192,0.0051719999999999995,3.55,1,1,1,1,1,28,13,1,0,0,0,mhoui_foodmart.txt
foodmart,mhoui,1000.0,0.0075,0.2,OK,0.0012749999999999999,0.006076,3.5,0,0,0,0,0,0,0,0,0,0,0,mhoui_foodmart.txt
foodmart,chui_miner,500.0,0.005,0.1,OK,2.944412,2.9501779999999997,3.81,30479,,,,0,731496,243832,,,,,chui_miner_foodmart.txt
foodmart,chui_miner,750.0,0.006,0.15,OK,2.600446,2.6048449999999996,3.81,19082,,,,0,457968,152656,,,,,chui_miner_foodmart.txt
foodmart,chui_miner,1000.0,0.0075,0.2,OK,1.910457,1.914634,3.8,11238,,,,0,269712,89904,,,,,chui_miner_foodmart.txt
foodmart,efim_closed,500.0,0.005,0.1,OK,0.19877099999999998,0.203028,3.62,73659,,,,0,1767816,589272,,,,,efim_closed_foodmart.txt
foodmart,efim_closed,750.0,0.006,0.15,OK,0.223989,0.22822900000000002,3.63,72341,,,,0,1736184,578728,,,,,efim_closed_foodmart.txt
foodmart,efim_closed,1000.0,0.0075,0.2,OK,0.290161,0.294517,3.62,69546,,,,0,1669104,556368,,,,,efim_closed_foodmart.txt
foodmart,efim,500.0,0.005,0.1,OK,0.234747,0.238791,3.75,231904,,,,967051,9433900,6690487,,,,,efim_foodmart.txt
foodmart,efim,750.0,0.006,0.15,OK,0.243238,0.247267,3.77,227550,,,,957392,9290768,6607360,,,,,efim_foodmart.txt
foodmart,efim,1000.0,0.0075,0.2,OK,0.362419,0.368568,3.75,219012,,,,937333,9005620,6438761,,,,,efim_foodmart.txt
liquor_11,chuo_miner,2500.0,0.015,0.25,OK,2.000005,2.151921,57.640625,141.0,,,,297.0,16212.0,27672.0,252.0,6663.0,0.0,0.0,chuo_miner_liquor_11.txt
liquor_11,chuo_miner,5000.0,0.02,0.3,OK,2.273842,2.376273,57.621094,28.0,,,,66.0,3416.0,5776.0,167.0,4375.0,0.0,5.0,chuo_miner_liquor_11.txt
liquor_11,chuo_miner,10000.0,0.03,0.35,OK,1.666283,1.771106,57.132812,13.0,,,,29.0,1540.0,2616.0,89.0,1645.0,0.0,5.0,chuo_miner_liquor_11.txt
liquor_11,mhoui,2500.0,0.015,0.25,OK,0.168272,0.281343,41.91,130,141,130,130,274,4216,2410,252,6329,0,3,mhoui_liquor_11.txt
liquor_11,mhoui,5000.0,0.02,0.3,OK,0.15393,0.257906,40.98,26,28,26,26,61,868,513,172,4358,0,14,mhoui_liquor_11.txt
liquor_11,mhoui,10000.0,0.03,0.35,OK,0.10820199999999999,0.214522,38.76,13,13,13,13,29,428,249,94,1518,0,13,mhoui_liquor_11.txt
liquor_11,chui_miner,2500.0,0.015,0.25,OK,28.76078,28.874359000000002,34.04,17510,,,,0,420240,140080,,,,,chui_miner_liquor_11.txt
liquor_11,chui_miner,5000.0,0.02,0.3,OK,14.848361,14.955086999999999,34.14,6866,,,,0,164784,54928,,,,,chui_miner_liquor_11.txt
liquor_11,chui_miner,10000.0,0.03,0.35,OK,6.101263,6.206171,33.76,2422,,,,0,58128,19376,,,,,chui_miner_liquor_11.txt
liquor_11,efim_closed,2500.0,0.015,0.25,TIMEOUT,,,,,,,,,,,,,,,efim_closed_liquor_11.txt
liquor_11,efim_closed,5000.0,0.02,0.3,OK,46.10748,46.27951,92.23,29073,,,,0,697752,232584,,,,,efim_closed_liquor_11.txt
liquor_11,efim_closed,10000.0,0.03,0.35,OK,15.871908,15.980749,91.67,9608,,,,0,230592,76864,,,,,efim_closed_liquor_11.txt
liquor_11,efim,2500.0,0.015,0.25,OK,53.186524,53.362139000000006,68.58,162086,,,,801653,7096676,5304953,,,,,efim_liquor_11.txt
liquor_11,efim,5000.0,0.02,0.3,OK,21.202090000000002,21.32328,68.55,56447,,,,270734,2437664,1805246,,,,,efim_liquor_11.txt
liquor_11,efim,10000.0,0.03,0.35,OK,9.750058000000001,9.857509,68.2,15917,,,,69269,659084,473681,,,,,efim_liquor_11.txt
