cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
256,1,1280,4096,ck,8,0,14.1672,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,0.74,370.54,0.0
256,1,2304,4096,ck,8,0,14.3441,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,1.32,658.52,0.0
256,1,4096,1024,ck,8,0,5.1974,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,1.61,808.77,0.0
256,1,4096,2048,ck,8,0,8.313,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,2.02,1010.33,0.0
256,1,4096,4096,ck,8,0,14.0842,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,2.38,1192.08,0.0
256,1,4096,8192,ck,8,0,26.0095,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,2.58,1290.71,0.0
256,1,4608,4096,ck,8,0,14.1465,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,2.67,1335.15,0.0
256,1,9216,4096,ck,8,0,15.0151,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,5.03,2515.55,0.0
256,2,1280,4096,ck,8,0,14.1603,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,1.48,371.19,0.0
256,2,2304,4096,ck,8,0,14.2531,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,2.65,663.34,0.0
256,2,4096,1024,ck,8,0,5.188,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,3.23,812.02,0.0
256,2,4096,2048,ck,8,0,8.0431,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,4.17,1045.5,0.0
256,2,4096,4096,ck,8,0,14.0622,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,4.77,1194.82,0.0
256,2,4096,8192,ck,8,0,25.9605,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,5.17,1293.78,0.0
256,2,4608,4096,ck,8,0,14.1929,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,5.32,1331.72,0.0
256,2,9216,4096,ck,8,0,15.0369,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,10.04,2513.4,0.0
256,4,1280,4096,ck,8,0,14.1898,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,2.96,371.36,0.0
256,4,2304,4096,ck,8,0,14.3276,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,5.27,661.1,0.0
256,4,4096,1024,ck,8,0,5.199,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,6.45,813.84,0.0
256,4,4096,2048,ck,8,0,8.0802,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,8.31,1043.24,0.0
256,4,4096,4096,ck,8,0,14.1027,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,9.52,1193.13,0.0
256,4,4096,8192,ck,8,0,26.0698,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,10.3,1289.61,0.0
256,4,4608,4096,ck,8,0,14.2169,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,10.62,1331.35,0.0
256,4,9216,4096,ck,8,0,15.0764,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,20.03,2509.81,0.0
256,8,1280,4096,ck,8,0,14.3315,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,5.85,369.54,0.0
256,8,2304,4096,ck,8,0,14.4811,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,10.43,656.5,0.0
256,8,4096,1024,ck,8,0,5.2492,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,12.78,813.08,0.0
256,8,4096,2048,ck,8,0,8.6656,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,15.49,977.49,0.0
256,8,4096,4096,ck,8,0,14.1491,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,18.97,1192.69,0.0
256,8,4096,8192,ck,8,0,26.0842,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,20.58,1291.41,0.0
256,8,4608,4096,ck,8,0,14.32,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,21.09,1325.48,0.0
256,8,9216,4096,ck,8,0,15.1682,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,39.82,2500.56,0.0
256,16,1280,4096,ck,8,0,13.6737,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,12.27,391.22,0.0
256,16,2304,4096,ck,8,0,13.8362,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,21.83,692.13,0.0
256,16,4096,1024,ck,8,0,5.1889,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,25.87,836.74,0.0
256,16,4096,2048,ck,8,0,8.3046,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,32.32,1029.84,0.0
256,16,4096,4096,ck,8,0,13.6225,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,39.41,1246.01,0.0
256,16,4096,8192,ck,8,0,24.8961,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,43.13,1358.31,0.0
256,16,4608,4096,ck,8,0,13.7872,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,43.81,1384.43,0.0
256,16,9216,4096,ck,8,0,14.7891,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,81.68,2576.84,0.0
256,32,1280,4096,ck,8,0,13.7109,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,24.47,397.92,0.0
256,32,2304,4096,ck,8,0,13.8411,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,43.64,701.95,0.0
256,32,4096,1024,ck,8,0,5.263,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,51.0,852.98,0.0
256,32,4096,2048,ck,8,0,8.6028,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,62.41,1013.19,0.0
256,32,4096,4096,ck,8,0,13.6077,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,78.91,1261.82,0.0
256,32,4096,8192,ck,8,0,24.5273,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,87.55,1389.42,0.0
256,32,4608,4096,ck,8,0,13.7119,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,88.1,1407.56,0.0
256,32,9216,4096,ck,7,0,16.1302,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,149.78,2384.94,0.0
256,64,1280,4096,ck,8,0,13.5712,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,49.45,417.71,0.0
256,64,2304,4096,ck,8,0,13.7231,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,88.02,728.28,0.0
256,64,4096,1024,ck,8,0,5.4072,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,99.29,884.77,0.0
256,64,4096,2048,ck,8,0,8.6653,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,123.91,1043.7,0.0
256,64,4096,4096,ck,8,0,13.5062,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,159.0,1300.41,0.0
256,64,4096,8192,ck,8,0,24.3368,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,176.48,1421.84,0.0
256,64,4608,4096,ck,7,0,14.9478,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,161.62,1319.68,0.0
256,64,9216,4096,ck,18,0,16.3851,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,294.89,2391.84,0.0
256,128,1280,4096,ck,8,0,12.9248,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,103.85,471.56,0.0
256,128,2304,4096,ck,7,0,14.8619,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,162.56,709.96,0.0
256,128,4096,1024,ck,7,0,5.8701,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,182.92,915.48,0.0
256,128,4096,2048,ck,7,0,8.9446,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,240.09,1084.38,0.0
256,128,4096,4096,ck,7,0,14.7719,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,290.75,1242.23,0.0
256,128,4096,8192,ck,18,0,26.9017,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,319.31,1325.25,0.0
256,128,4608,4096,ck,18,0,15.2581,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,316.67,1348.68,0.0
256,128,9216,4096,ck,18,0,25.2751,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,382.34,1607.6,0.0
256,256,1280,4096,ck,7,0,14.6601,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,183.11,473.86,0.0
256,256,2304,4096,ck,18,0,15.2228,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,317.41,766.31,0.0
256,256,4096,1024,ck,18,0,6.8746,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,312.38,953.31,0.0
256,256,4096,2048,ck,18,0,9.5793,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,448.36,1149.36,0.0
256,256,4096,4096,ck,18,0,15.9385,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,538.94,1249.99,0.0
256,256,4096,8192,ck,18,0,28.4987,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,602.83,1324.58,0.0
256,256,4608,4096,ck,18,0,23.2956,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,414.83,956.5,0.0
256,256,9216,4096,ck,18,0,34.0733,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,567.23,1277.13,0.0
256,512,1280,4096,ck,18,0,14.9651,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,358.75,578.06,0.0
256,512,2304,4096,ck,18,0,22.4939,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,429.61,617.66,0.0
256,512,4096,1024,ck,18,0,9.5074,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,451.75,937.47,0.0
256,512,4096,2048,ck,18,0,13.8523,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,620.11,984.06,0.0
256,512,4096,4096,ck,18,0,26.3155,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,652.84,876.62,0.0
256,512,4096,8192,ck,2,0,49.1984,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,698.39,852.53,0.0
256,512,4608,4096,ck,18,0,33.1504,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,583.02,774.96,0.0
256,512,9216,4096,ck,18,0,56.9665,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,678.55,865.12,0.0
256,1024,1280,4096,ck,18,0,22.5513,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,476.13,534.72,0.0
256,1024,2304,4096,ck,18,0,32.5992,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,592.88,562.9,0.0
256,1024,4096,1024,ck,0,0,13.6361,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,629.94,999.66,0.0
256,1024,4096,2048,ck,0,0,20.9079,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,821.69,902.74,0.0
256,1024,4096,4096,ck,0,0,38.094,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,901.97,770.73,0.0
256,1024,4096,8192,ck,0,0,67.6977,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,1015.09,743.48,0.0
256,1024,4608,4096,ck,0,0,53.7344,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,719.37,604.94,0.0
256,1024,9216,4096,ck,0,0,87.6258,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,882.27,694.06,0.0
256,2048,1280,4096,ck,18,0,33.0696,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,649.38,570.75,0.0
256,2048,2304,4096,ck,2,0,53.2149,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,726.39,512.32,0.0
256,2048,4096,1024,ck,0,0,22.7579,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,754.9,1013.66,0.0
256,2048,4096,2048,ck,0,0,36.6624,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,937.19,800.82,0.0
